company_id,company_name,hq_country,hq_region,founded_year,maturity_class,ownership_type,status,ceased_year,segment_primary,segment_secondary,modality_primary,domains_primary,domains_secondary,spatial_scope,countries_claimed,access_model,microdata_access,evidence_level,notes
cntxt_ai,CNTXT AI,ARE,MENA,2023,startup,private_vc,active,NA,ai_training_data,NA,crowd_task,ai_labels|identity_biometric,social_discourse,single_region,20,api_license,commercial_only,A,Arabic-first dataset and speech recognition builder spanning more than 25 dialects; raised 60 million dollars in 2026
tarjama,Tarjama,ARE,MENA,2008,scaleup,private_independent,active,NA,ai_training_data,NA,crowd_task,ai_labels|web_content,NA,single_region,20,project_commission,commercial_only,C,Arabic language data and annotation supplier to model developers
ventures_middle_east,Ventures Middle East,ARE,MENA,2008,scaleup,private_independent,active,NA,b2b_firmographic,survey_insights,admin_records,firmographic|infrastructure,supply_chain,single_region,14,subscription,commercial_only,A,Gulf project and tender intelligence alongside commissioned research
falcon_3d,Falcon 3D,ARE,MENA,2015,scaleup,private_independent,active,NA,earth_observation,NA,remote_sensing,infrastructure|housing_property,earth_observation,single_region,3,project_commission,commercial_only,B,Gulf laser scanning and drone survey firm producing three-dimensional built-environment data
falcon_eye_drones,Falcon Eye Drones,ARE,MENA,2014,scaleup,private_independent,active,NA,earth_observation,NA,remote_sensing,infrastructure|energy_extractives,agriculture,single_region,2,project_commission,commercial_only,A,Dubai-based commercial drone surveying and inspection operator with a dedicated Saudi operation
space42,Space42,ARE,MENA,2024,scaleup,public_listed,active,NA,earth_observation,climate_risk,remote_sensing,earth_observation|infrastructure,conflict_security,global,195,subscription,commercial_only,B,Formed from the merger of Bayanat and Yahsat; the largest Gulf-owned geospatial data operator
amrb,Arabian Marketing and Research Bureau,ARE,MENA,1985,established,subsidiary,absorbed,2008,field_agency,survey_insights,face_to_face,consumer_behavior|media_audience,NA,single_region,12,project_commission,none,C,Gulf research house with offices in the UAE Saudi Arabia Egypt Algeria and Morocco; folded into Kantar as Kantar AMRB
parc_dubai,Pan Arab Research Center,ARE,MENA,1979,established,private_independent,active,NA,field_agency,audience_measurement,face_to_face,consumer_behavior|media_audience,NA,single_region,15,project_commission,none,C,Gulf and wider Arab market fieldwork
m42,M42,ARE,MENA,2023,scaleup,state_linked,active,NA,health_rwd,ai_training_data,clinical_records,health_clinical,ai_labels,multi_region,8,project_commission,researcher_restricted,B,Runs the Emirati Genome Programme and one of the largest consented genomic collections outside the West
derq,Derq,ARE,MENA,2016,scaleup,private_vc,active,NA,location_mobility,iot_telemetry,sensor_hardware,mobility_location|infrastructure,NA,multi_region,6,subscription,commercial_only,C,Dubai firm turning roadside camera feeds into traffic conflict and near-miss data; an MIT spinout
presight_ai,Presight AI,ARE,MENA,2020,scaleup,public_listed,active,NA,social_osint,b2b_firmographic,api_partner,conflict_security|firmographic,social_discourse,multi_region,20,subscription,commercial_only,B,Abu Dhabi big data analytics arm of G42 selling to governments
asdaa_bcw,ASDAA BCW,ARE,MENA,2000,established,subsidiary,active,NA,survey_insights,NA,telephone,public_opinion,consumer_behavior,single_region,18,open_free,none,B,Runs the annual Arab Youth Survey which is the main published youth attitudinal series in the Gulf
insight_discovery,Insight Discovery,ARE,MENA,2009,scaleup,private_independent,active,NA,survey_insights,b2b_firmographic,expert_elicit,firmographic|consumer_behavior,NA,single_region,12,subscription,commercial_only,C,Financial services research in the Gulf and wider MENA
irsm_algeria,IRSM Institut de Recherche Sondages et Marketing,DZA,MENA,NA,established,private_independent,active,NA,field_agency,audience_measurement,face_to_face,consumer_behavior|media_audience,public_opinion,single_country,1,project_commission,none,B,The main Algerian market and media research institute; founding year not published
intella_ai,Intella,EGY,MENA,2020,startup,private_vc,active,NA,ai_training_data,NA,api_partner,ai_labels,NA,multi_region,8,api_license,commercial_only,B,Arabic speech to text built on dialect audio corpora; operates between Cairo and Riyadh
widebot,WideBot,EGY,MENA,2016,scaleup,private_vc,active,NA,ai_training_data,social_osint,crowd_task,ai_labels|social_discourse,NA,single_region,12,api_license,commercial_only,C,Builds Arabic dialect corpora to train conversational systems
i_score_egypt,I-Score,EGY,MENA,2005,established,private_independent,active,NA,consumer_broker,b2b_firmographic,admin_records,credit_risk|firmographic,NA,single_country,1,subscription,commercial_only,B,"The Egyptian credit bureau, owned by a consortium of banks"
aydi,Aydi,EGY,MENA,2022,startup,private_vc,active,NA,field_agency,climate_risk,mobile_app,agriculture|prices_retail,supply_chain,single_country,1,subscription,commercial_only,A,Digitises Egyptian farm-to-market chains and runs an AI agronomy assistant that collects field reports
el_zanaty,El-Zanaty and Associates,EGY,MENA,1990,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,health_clinical|public_opinion,labor_employment,single_country,1,project_commission,open,A,Implements the Egypt Demographic and Health Survey series for the Ministry of Health; seven full-scale rounds since 1988
rada_research,RADA Research and PR,EGY,MENA,1996,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,consumer_behavior|public_opinion,media_audience,single_country,1,project_commission,none,C,Cairo fieldwork house
crowd_analyzer,Crowd Analyzer,EGY,MENA,2014,scaleup,private_vc,active,NA,social_osint,NA,api_partner,social_discourse,consumer_behavior,single_region,20,subscription,commercial_only,B,Arabic social media monitoring with Cairo and Dubai operations
iiacss,Independent Institute for Administration and Civil Society Studies,IRQ,MENA,2003,established,private_independent,active,NA,field_agency,survey_insights,face_to_face,public_opinion|conflict_security,NA,single_region,5,project_commission,none,C,One of very few firms sustaining face-to-face fieldwork in Iraq
dataloop,Dataloop,ISR,MENA,2017,scaleup,private_vc,active,NA,ai_training_data,collection_software,crowd_task,ai_labels,NA,multi_region,20,subscription,commercial_only,C,Data engine for unstructured training data
lusha,Lusha,ISR,MENA,2016,scaleup,private_vc,active,NA,b2b_firmographic,NA,web_scrape,firmographic|labor_employment,NA,global,190,subscription,commercial_only,C,Crowd-contributed business contact data
agritask,Agritask,ISR,MENA,2013,scaleup,private_vc,active,NA,climate_risk,earth_observation,sensor_hardware,agriculture|environment_climate,supply_chain,global,35,subscription,commercial_only,A,Fuses in-field sensors weather stations and satellite imagery across more than 50 crop types and 35 countries with a focus on frontier markets
asterra,ASTERRA,ISR,MENA,2013,scaleup,private_vc,active,NA,earth_observation,climate_risk,remote_sensing,infrastructure|environment_climate,housing_property,global,60,subscription,commercial_only,B,Applies algorithms to synthetic aperture radar to find underground water leaks and soil moisture without any ground instrumentation
imagesat,ImageSat International,ISR,MENA,1997,established,private_independent,active,NA,earth_observation,social_osint,remote_sensing,earth_observation|conflict_security,infrastructure,global,195,subscription,commercial_only,A,Operates the EROS satellite series; EROS NOVA unveiled in September 2026 images at 25 centimetres with onboard AI processing
taranis,Taranis,ISR,MENA,2015,scaleup,private_vc,active,NA,earth_observation,climate_risk,remote_sensing,agriculture|earth_observation,environment_climate,multi_region,15,subscription,commercial_only,A,Low-flying aircraft and drones capturing leaf-level crop imagery at speed with AI detection of disease and infestation
geocartography,Geocartography Knowledge Group,ISR,MENA,1985,established,private_independent,active,NA,field_agency,survey_insights,telephone,public_opinion|consumer_behavior,NA,single_country,1,project_commission,none,C,Founding year not established from public sources
midgam_israel,Midgam Project,ISR,MENA,1994,established,private_independent,active,NA,field_agency,panel_sample,telephone,public_opinion,consumer_behavior,single_country,1,project_commission,none,C,Israeli fieldwork and panel provider used in academic experiments
similarweb,Similarweb,ISR,MENA,2007,established,public_listed,active,NA,financial_altdata,audience_measurement,device_passive,web_content|media_audience,prices_retail,global,190,subscription,commercial_only,B,Panel plus clickstream estimation of website and app traffic
otonomo,Otonomo,ISR,MENA,2015,scaleup,subsidiary,absorbed,2024,iot_telemetry,location_mobility,api_partner,device_telemetry|mobility_location,NA,multi_region,20,api_license,none,A,Vehicle data marketplace sold to Urgently in 2024 after the connected car data market failed to materialise
