"company_id","stakeholder_name","stakeholder_type","stakeholder_country","stakeholder_category","evidence_level","notes","hq_region","hq_country","ownership_type","microdata_access","segment_primary","stakeholder_region","domestic"
"aaru","Cameron Fink","founder","USA","individual","A","Co-founder","NOAM","USA","private_vc","commercial_only","survey_insights","NOAM",TRUE
"aaru","Accenture","investor","IRL","corporate","A","Strategic investor and customer","NOAM","USA","private_vc","commercial_only","survey_insights","WEU",FALSE
"aaru","Redpoint Ventures","investor","USA","vc","A","Led the Series A at a one billion dollar headline valuation in December 2025","NOAM","USA","private_vc","commercial_only","survey_insights","NOAM",TRUE
"acled","European Research Council","funder","BEL","multilateral","A",NA,"NOAM","USA","nonprofit","open","social_osint","WEU",FALSE
"acled","Complex Risk Analytics Fund","funder","CHE","multilateral","A","Pooled fund contributed to by the US UK Germany the Netherlands and the European Commission","NOAM","USA","nonprofit","open","social_osint","WEU",FALSE
"acled","US Department of State Bureau of Conflict and Stabilization Operations","funder","USA","bilateral_donor","A",NA,"NOAM","USA","nonprofit","open","social_osint","NOAM",TRUE
"acled","Dutch Ministry of Foreign Affairs","funder","NLD","bilateral_donor","A",NA,"NOAM","USA","nonprofit","open","social_osint","WEU",FALSE
"acled","German Federal Foreign Office","funder","DEU","bilateral_donor","A",NA,"NOAM","USA","nonprofit","open","social_osint","WEU",FALSE
"acled","Clionadh Raleigh","founder","GBR","individual","B","Founder and president","NOAM","USA","nonprofit","open","social_osint","WEU",FALSE
"acled","International Organization for Migration","funder","CHE","multilateral","A",NA,"NOAM","USA","nonprofit","open","social_osint","WEU",FALSE
"acled","World Bank","funder","USA","multilateral","A",NA,"NOAM","USA","nonprofit","open","social_osint","NOAM",TRUE
"acled","US Department of Defense","funder","USA","state","A","Through the CCAPS programme at the University of Texas","NOAM","USA","nonprofit","open","social_osint","NOAM",TRUE
"acled","Tableau Foundation","funder","USA","foundation","A",NA,"NOAM","USA","nonprofit","open","social_osint","NOAM",TRUE
"acxiom","Omnicom","controlling_owner","USA","corporate","B","Held via Interpublic which Omnicom acquired","NOAM","USA","subsidiary","commercial_only","consumer_broker","NOAM",TRUE
"aerobotics","Naspers Foundry","investor","ZAF","corporate","A","Backed the 17 million dollar Series B","SSA","ZAF","private_vc","commercial_only","earth_observation","SSA",TRUE
"aerobotics","Benji Meltzer","founder","ZAF","individual","B","Co-founder","SSA","ZAF","private_vc","commercial_only","earth_observation","SSA",TRUE
"aerobotics","James Paterson","founder","ZAF","individual","B","Co-founder and chief executive","SSA","ZAF","private_vc","commercial_only","earth_observation","SSA",TRUE
"africa_polling_institute","Bell Ihua","founder","NGA","individual","B","Founder and executive director","SSA","NGA","nonprofit","researcher_restricted","field_agency","SSA",TRUE
"african_languages_lab","Sheriff Issaka","founder","USA","individual","B","Founded the lab in 2020","NOAM","USA","private_vc","researcher_restricted","ai_training_data","NOAM",TRUE
"afrobarometer","Michael Bratton","founder","USA","individual","B","Co-founder of the Afrobarometer network","SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","E Gyimah-Boadi","founder","GHA","individual","B","Co-founder and long-serving executive director","SSA","GHA","nonprofit","open","survey_insights","SSA",TRUE
"afrobarometer","Robert Mattes","founder","ZAF","individual","B","Co-founder of the network","SSA","GHA","nonprofit","open","survey_insights","SSA",FALSE
"afrobarometer","Swedish International Development Cooperation Agency","funder","SWE","bilateral_donor","A",NA,"SSA","GHA","nonprofit","open","survey_insights","WEU",FALSE
"afrobarometer","Norwegian Agency for Development Cooperation","funder","NOR","bilateral_donor","A","Channelled via the World Bank Think Africa project","SSA","GHA","nonprofit","open","survey_insights","WEU",FALSE
"afrobarometer","Mo Ibrahim Foundation","funder","GBR","foundation","A","Sudanese-British founder; the only major Afrobarometer funder with African origins","SSA","GHA","nonprofit","open","survey_insights","WEU",FALSE
"afrobarometer","Open Society Foundations Africa","funder","USA","foundation","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","Luminate","funder","GBR","foundation","A","Omidyar Network spin-out","SSA","GHA","nonprofit","open","survey_insights","WEU",FALSE
"afrobarometer","Ford Foundation","funder","USA","foundation","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","William and Flora Hewlett Foundation","funder","USA","foundation","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","Mastercard Foundation","funder","CAN","foundation","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","David and Lucile Packard Foundation","funder","USA","foundation","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","Obama Foundation","funder","USA","foundation","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","European Commission","funder","BEL","multilateral","A",NA,"SSA","GHA","nonprofit","open","survey_insights","WEU",FALSE
"afrobarometer","World Bank Group","funder","USA","multilateral","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","International Development Research Centre","funder","CAN","bilateral_donor","A",NA,"SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"afrobarometer","German Federal Ministry for Economic Cooperation and Development","funder","DEU","bilateral_donor","A","Delivered through GIZ","SSA","GHA","nonprofit","open","survey_insights","WEU",FALSE
"afrobarometer","United States Agency for International Development","funder","USA","bilateral_donor","A","Former Africa Bureau officials publicly urged USAID to save Afrobarometer funding","SSA","GHA","nonprofit","open","survey_insights","NOAM",FALSE
"airqo","Makerere University","controlling_owner","UGA","university","A",NA,"SSA","UGA","academic","open","climate_risk","SSA",TRUE
"airqo","Google.org","funder","USA","corporate","A","1.3 million dollar AI Impact Challenge grant in 2019 followed by a 3 million dollar grant to expand to ten cities in five countries","SSA","UGA","academic","open","climate_risk","NOAM",FALSE
"amini","Kate Kallot","founder","KEN","individual","B","Founder and chief executive","SSA","KEN","private_vc","researcher_restricted","earth_observation","SSA",TRUE
"apollo_agriculture","Eli Pollak","founder","USA","individual","B","Co-founder and chief executive","SSA","KEN","private_vc","none","climate_risk","NOAM",FALSE
