check_id,target,target_id,claim_checked,outcome,corrected_to,route,evidence_level,url,checked_on,notes
v_afrobarometer,network,afrobarometer,"Do national partners' datasets reach researchers, and who releases them",confirmed_with_correction,open,via_network,A,https://www.afrobarometer.org/survey-data/data-downloads/,2026-09-19,"Country datasets are free to download and respondent-level data needs an application. The releasing party is the network and DataFirst, not the partner firm, which is why the route field now records that"
v_arabbarometer,network,arab_barometer,Same question for Arab Barometer partners,false_negative,open,via_network,A,https://www.arabbarometer.org/survey-data/data-downloads/,2026-09-19,"Arab Barometer data are public at no charge. IIACSS, One to One and Statistics Lebanon were coded none while 35 Afrobarometer partners in the same position were coded open"
v_dhs,network,dhs_program,Same question for DHS implementing contractors,false_negative,researcher_restricted,via_network,A,https://dhsprogram.com/data/,2026-09-19,DHS files are free to registered users with a stated research purpose. ICF and Abt Global ran the programme and were coded none
v_konda,firm,konda,Is record-level survey data available to researchers,false_positive,commercial_only,none,B,https://konda.com.tr/en/konda-barometer/,2026-09-19,Reports are behind a subscription and no microdata archive was found. Was coded researcher_restricted
v_amini,firm,amini,Is record-level data available to researchers,false_positive,commercial_only,none,B,https://www.amini.ai/,2026-09-19,Platform access is sold under licence fees with a lighter paid tier. No researcher route found. Was coded researcher_restricted
v_kartoza,firm,kartoza,Does the firm release its own microdata,false_positive,commercial_only,none,B,https://kartoza.com/,2026-09-19,Builds open-source geospatial software and curates other people's catalogues. Open source was read as open data in the original coding
v_zindi,firm,zindi,Can record-level data be obtained,confirmed_with_correction,researcher_restricted,self,B,https://zindi.africa/,2026-09-19,"Competition datasets download freely after registration, which is researcher_restricted rather than open. Much of the data is contributed by partners rather than collected by Zindi"
v_intron,firm,intron_health,Is the clinical speech corpus obtainable,confirmed,researcher_restricted,self,A,https://github.com/intron-innovation/AfriSpeech-200,2026-09-19,"AfriSpeech-200 is 200 hours across 120 accents, released by the firm with credentials granted on request. A true positive"
v_spatial_collective,firm,spatial_collective,Is the mapping data open,confirmed,open,self,B,https://spatialcollective.com/,2026-09-19,"Field mapping is uploaded into OpenStreetMap, which is a commons rather than a client, so the route is self"
v_m42,firm,m42,Can researchers obtain Emirati Genome Program data,confirmed_with_correction,researcher_restricted,via_network,A,https://www.doh.gov.ae/en/research/the-emirati-reference-genome-programme,2026-09-19,"Access is by data access agreement through the Department of Health, which funds and governs the programme while M42 executes it. The route is the commissioner"
v_el_zanaty,firm,el_zanaty,Does the firm release Egyptian DHS microdata,confirmed_with_correction,researcher_restricted,via_network,A,https://dhsprogram.com/data/dataset/Egypt_Standard-DHS_2014.cfm,2026-09-19,"The data reaches researchers through the DHS Program on registration, not from the firm, and was coded open"
v_iiacss,firm,iiacss,Does Iraqi survey data reach researchers,false_negative,open,via_network,A,https://www.arabbarometer.org/countries/iraq/,2026-09-19,Arab Barometer partner for Iraq. Coded none while Afrobarometer partners were coded open
v_ona,firm,ona,Does the platform release microdata,confirmed,none,none,B,https://ona.io/,2026-09-19,Builds collection software including OpenSRP; the data belongs to the implementing organisations. A true negative
v_rsa,firm,research_solutions_africa,Does the agency release microdata,confirmed,none,none,B,https://www.rsaltd.biz/,2026-09-19,Fieldwork supplier operating in over 20 African countries; data is delivered to the commissioning client. A true negative
v_neg_unchecked,sample,i_score_egypt|lms_csa_maroc|rada_research|africas_talking|aflabox|nexar|onafriq,Do any of these disclose record-level data,not_individually_verified,NA,none,C,NA,2026-09-19,"Seven of the ten sampled negatives were not checked against a source. They are credit bureaux, fieldwork suppliers, telecom and imagery vendors whose business model is inconsistent with disclosure, and they are recorded here as unverified rather than as confirmed"
