innovation_id,company_id,novelty_type,novel_element,displaces,first_deployment_year,contested,evidence_level,url,notes
in_iceye,iceye,new_sensor,Synthetic aperture radar from a smallsat constellation,Optical imaging that cloud and darkness defeat,2018,no,B,https://www.iceye.com/,Radar imaging was a state capability at state cost. Putting it on a smallsat is what let a private firm sell all-weather imagery
in_satvu,satvu,new_sensor,Mid wave infrared thermal imaging from orbit at about 3.5 metre resolution,Optical imagery that measures reflected light and stops at dusk,2023,no,A,https://www.satellitevu.com/about,"Measures emitted heat rather than reflected light, so building energy use and industrial activity are readable at night"
in_ghgsat,ghgsat,new_sensor,Facility level methane plume detection from orbit,Self reported emissions inventories,2016,no,B,https://www.ghgsat.com/,"Turns a reporting obligation into an external measurement, which is why the buyer became the regulator as much as the operator"
in_hawkeye,hawkeye_360,new_sensor,Geolocation of radio emitters from formation flying satellites,Imaging that only sees what is visible at the moment of overpass,2018,yes,B,https://www.he360.com/,"Detects vessels that have switched off their transponders. Sold into sanctions and fisheries enforcement, which makes it contested where it is used as evidence"
in_unseenlabs,unseenlabs,new_sensor,Single satellite radio frequency vessel geolocation,Cooperative AIS transponder reporting,2019,no,B,https://unseenlabs.space/,A European entrant to a method that had been treated as an American speciality
in_pixxel,pixxel,new_sensor,Hyperspectral imaging across hundreds of bands,Multispectral imagery with a handful of bands,2022,no,B,https://www.pixxel.space/,"Indian entrant selling spectral resolution rather than spatial resolution, which is a different axis of competition in a crowded segment"
in_orbital_sidekick,orbital_sidekick,new_sensor,Hyperspectral pipeline leak detection from orbit,Ground crews and aerial survey flights,2021,no,B,https://www.orbitalsidekick.com/,"The chemical signature of a leak is visible in the spectrum, so inspection becomes a subscription"
in_spire,spire_global,new_sensor,GNSS radio occultation for atmospheric profiling,Weather balloons and government sounding satellites,2016,no,B,https://spire.com/,Reads the atmosphere from how navigation signals bend through it. A measurement taken from signals already in the sky
in_soundthinking,soundthinking,new_sensor,Acoustic triangulation of gunfire across a city,Emergency calls from members of the public,1997,yes,A,https://www.soundthinking.com/company/,Replaces a human report with a sensor reading. Accuracy disputes and the Chicago cancellation in 2024 are the register's clearest case of a method contested by its own buyers
in_silixa,silixa,new_sensor,Distributed acoustic sensing along installed optical fibre,Discrete point sensors placed along an asset,2010,no,A,https://silixa.com/,Every metre of an existing cable becomes a listening post. The sensor is infrastructure that was laid for another purpose
in_optasense,optasense,new_sensor,Fibre sensing for perimeter rail and pipeline monitoring,Patrols cameras and fence sensors,2010,no,B,https://www.optasense.com/,Same substrate as Silixa aimed at security and transport rather than at subsurface energy
in_vayyar,vayyar,new_sensor,Four dimensional imaging radar for indoor presence and falls,Cameras and wearable alarm buttons,2016,no,B,https://vayyar.com/technology/,Gets into bathrooms and bedrooms precisely because it is not a camera. The privacy property is the product feature
in_origin,origin_wireless,new_sensor,Motion and breathing inferred from ambient wifi propagation,Purpose built motion sensors and cameras,2018,no,B,https://www.originwirelessai.com/,"No sensor is installed at all. The household's own router becomes the instrument, which removes the deployment cost that bounded this market"
in_naturemetrics,naturemetrics,new_sensor,Environmental DNA from water and soil samples,Field ecologists identifying species by sight,2014,no,B,https://www.naturemetrics.com/,A cup of water reports what lives upstream. Turns biodiversity survey from an expert task into a sampling task
in_biobot,biobot,new_sensor,Wastewater as a population level clinical sample,Individual testing of individual people,2018,no,B,https://biobot.io/,"One sample covers a sewershed, so the unit of observation becomes a population without anyone being enrolled"
in_wastewaterscan,wastewaterscan,new_sensor,Multi pathogen wastewater monitoring network,Clinical surveillance that only sees people who present,2020,no,B,https://wastewaterscan.org/,"The nonprofit version of the same method, publishing openly where the commercial version sells"
in_rainforest,rainforest_connection,new_sensor,Passive acoustic monitoring for chainsaws and species,Ranger patrols and satellite deforestation alerts that arrive after the fact,2014,no,B,https://rfcx.org/,Hears the logging while it is happening rather than measuring the clearing afterwards
in_wildlife_insights,wildlife_insights,new_sensor,Pooled camera trap imagery classified by shared models,Each project holding and hand labelling its own images,2019,no,B,https://www.wildlifeinsights.org/,"The innovation is pooling and shared classification rather than the trap itself, and the pool is open"
in_tomorrow,tomorrow_io,new_sensor,Commercial radar and sounder satellites for weather,National meteorological agency observation networks,2023,no,B,https://www.tomorrow.io/,"Private weather observation rather than private redistribution of public observation, which is the older model"
in_riwi,riwi,new_sampling_frame,Surveys served to people who land on lapsed or abandoned web domains,Recruited online panels and random digit dialling,2011,no,B,https://riwi.com/technology/,"The frame is a set of domains rather than a list of people, which is what lets it produce numbers in countries where no panel exists and no dialling frame is usable"
in_alphonso,alphonso,new_sampling_frame,Content fingerprinting inside the television set,Household meter panels of a few thousand homes,2015,yes,A,https://alphonso.tv/,Entry into the register's most closed segment came through the hardware rather than through a panel. Contested on disclosure grounds in the ACR privacy literature
in_samba,samba_tv,new_sampling_frame,Smart television automatic content recognition,Panel based audience measurement,2015,yes,B,https://samba.tv/,Same method as Alphonso reaching the market through a different set of manufacturers
in_opensignal,opensignal,new_sampling_frame,Network measurement from SDKs in consumer apps,Operator records and engineering drive tests,2012,no,A,https://www.opensignal.com/,"Produces network data without the operator's cooperation, which inverts who holds the measurement in that segment"
in_nexar,nexar,new_sampling_frame,Driver owned dashcams as a road imaging fleet,Dedicated survey vehicles driven by the mapping firm,2017,no,B,https://www.getnexar.com/,"The imaging fleet is bought and driven by other people, so coverage scales with sales rather than with capital expenditure"
in_carmera,carmera,new_sampling_frame,Cameras on commercial fleets already on the road,Purpose built mapping vehicles,2016,no,A,https://woven.toyota/en/news/20210715/,"Acquired by Toyota in 2021, so the method continued inside a carmaker and the independent firm did not"
in_hivemapper,hivemapper,new_sampling_frame,Contributor owned dashcams paid per contribution,Street imaging fleets owned by a mapping company,2022,no,A,https://hivemapper.com/,"Combines the contributor owned fleet with a token payment, so it appears under both this type and the incentive type"
in_premise,premise_data,new_sampling_frame,Paid observation tasks pushed to a distributed app workforce,Enumerator teams dispatched by a field agency,2014,yes,B,https://www.premise.com/,"Contested because the same task network has been used for defence contracts and for development monitoring, and contributors are not always told which"
in_bright_data,bright_data,new_sampling_frame,Residential proxy network routing collection through consumer devices,Datacentre crawlers that sites can block,2014,yes,B,https://brightdata.com/,The collection point is a consumer's own connection. How that consent is obtained is the substance of the litigation and regulatory attention around the firm
in_prolific,prolific,new_sampling_frame,Purpose built academic participant pool with enforced pay floors,General purpose micro task marketplaces used as a subject pool,2014,no,B,https://www.prolific.com/,Competes against a crowd work platform on data quality and on pay transparency rather than on price
in_flightradar24,flightradar24,new_sampling_frame,Volunteer hosted ADS-B receivers,Air traffic control feeds licensed from authorities,2009,no,B,https://www.flightradar24.com/about/,"The incumbent in the flight data segment is itself a crowdsourced network, which is why the token entrants had to compete on payment rather than on method"
in_geodnet,geodnet,new_incentive,Token payment for hosting a GNSS base station,Commercial correction networks that own their own stations,2022,no,B,https://geodnet.com/network,"Contributors buy the hardware and are paid from enterprise revenue through a token buyback, which shifts capital cost onto the network"
in_wingbits,wingbits,new_incentive,Token payment for hosting an ADS-B receiver,Volunteer receiver networks that pay nothing,2023,no,B,https://wingbits.com/,"Built directly against the unpaid volunteer model of the incumbents. The competitive claim is about who captures the value, not about the sensor"
in_weatherxm,weatherxm,new_incentive,Token payment for hosting a weather station,National meteorological networks and unpaid hobbyist stations,2022,no,B,https://weatherxm.com/,"Density where public networks are thin, paid for by the data buyers rather than by a meteorological budget"
in_dimo,dimo,new_incentive,Drivers paid for connecting their own vehicle telemetry,Telematics collected by manufacturers and insurers from the vehicle by default,2022,no,B,https://dimo.co/,"Moves the vehicle data relationship from the carmaker to the driver, which is a property claim as much as a collection method"
in_karya,karya,new_contract,Workers hold royalties on every resale of the data they produced,Per task payment with no continuing claim on the dataset,2021,no,A,https://www.karya.in/impact,"The clearest counterexample in the register to the Kenyan annotation model, where the buyer owned the output and the wage was the whole of what stayed"
in_sama,sama,new_contract,Impact sourcing of annotation work with wage floors,Lowest cost annotation labour wherever it is available,2008,yes,B,https://www.sama.com/,"Founded on an ethical sourcing claim and then the subject of Kenyan litigation over moderation work conditions, which is why it is coded contested"
in_digital_umuganda,digital_umuganda,new_contract,Community collected Kinyarwanda speech held locally,Language data collected by foreign firms and licensed back,2019,no,B,https://digitalumuganda.com/,"African language data collected and retained in country, a direct answer to the pattern where the buyer owns the corpus"
in_lelapa,lelapa_ai,new_contract,African language models trained on locally built corpora,Adapting foreign models with data collected by others,2022,no,B,https://lelapa.ai/,"Builds the resource and the model in the same place, keeping the dataset with the firm that collected it"
in_pricestats,pricestats,new_substrate,Online retail listings as a daily inflation measurement,Monthly price collection by statistical office enumerators,2011,no,A,https://www.statestreet.com/us/en/solutions/data-intelligence/pricestats,"A private daily index competing with an official monthly one, so the competitor is a state agency rather than another firm. The method was demonstrated in the MIT Billion Prices Project from 2008 and the company was formed in 2011"
in_rs_metrics,rs_metrics,new_substrate,Cars in retail parking lots counted from satellite imagery,Company disclosure and store visit surveys,2011,yes,B,https://rsmetrics.com/,"Contested because it reads a listed company's performance before the company reports it, and the same imagery now serves regulated climate disclosure"
in_orbital_insight,orbital_insight,new_substrate,Imagery derived economic indicators such as oil tank fill,Reported inventory statistics,2014,no,B,https://orbitalinsight.com/,Made physical infrastructure legible as a financial time series
in_atlas_ai,atlas_ai,new_substrate,Village level asset wealth inferred from satellite pixels,Household surveys such as DHS and LSMS,2018,yes,A,https://www.atlasai.co/about,"Contested because it substitutes model output for measurement in exactly the places where the surveys have stopped, so the error cannot be checked against the thing it replaced"
in_fraym,fraym,new_substrate,Hyperlocal estimates from imagery anchored on existing survey points,Fresh survey fieldwork at each new geography,2016,yes,B,https://fraym.io/,"Depends on a stock of surveys that donor funding is no longer replenishing, which makes the method's accuracy a decreasing function of time"
in_kayrros,kayrros,new_substrate,Emissions and energy activity read from public satellite feeds,Operator reported production and emissions figures,2016,no,B,https://www.kayrros.com/,"Builds a measurement business on imagery that is free to anyone, so the asset is the inference and not the collection"
in_yodlee,yodlee,new_substrate,Bank accounts aggregated by logging in as the customer,Data the bank chooses to share,1999,yes,B,https://www.yodlee.com/,"Credential based screen scraping made household finances licensable. Open banking rules were written in part to replace it, which is regulation catching up with a method twenty years later"
in_second_measure,second_measure,new_substrate,Card transaction panels as company revenue estimates,Quarterly company filings,2015,yes,B,https://secondmeasure.com/,Reads consumer purchases at firm level before the firm reports them. Contested on consent grounds because the purchaser never dealt with the data firm
in_thinknum,thinknum,new_substrate,Job postings and web footprints as corporate signals,Analyst estimates and company guidance,2014,no,B,https://www.thinknum.com/,Treats the hiring page as a financial disclosure
in_sensor_tower,sensor_tower,new_substrate,App store telemetry as market share measurement,Company reported download and revenue figures,2013,yes,B,https://sensortower.com/,Contested after reporting on how some of its measurement SDKs reached devices
in_acled,acled,new_substrate,Local language media reports coded as conflict event data,Official casualty statistics and incident reports,2005,no,A,https://acleddata.com/,"Made news reporting into a structured panel, which is now the standard source for conflict research"
