programme_id,programme_name,funders,funder_country,funder_category,instrument_type,cadence,geography_scope,eligible_regions,award_min_usd,award_max_usd,stage_targeted,data_specific,thematic_focus,status,first_year,ended_year,evidence_level,url,notes
lacuna_fund,Lacuna Fund,Rockefeller Foundation|Google.org|International Development Research Centre|Deutsche Gesellschaft fur Internationale Zusammenarbeit,USA,foundation,grant,thematic_rounds,multi_region,SSA|LAC|SAS,25000,250000,any,yes,Labelled machine learning datasets in low-resource languages and underserved domains,open,2020,NA,A,https://lacunafund.org/apply/,Funder collaborative; the NLP round offers roughly 1 million dollars split into 6 to 8 awards up to 100k and 2 to 3 of 100k to 250k. Lacuna Fund is itself a row in companies.csv
ai4d_responsible_ai,AI4D Responsible AI Empowering People,International Development Research Centre|UK Foreign Commonwealth and Development Office,CAN,bilateral_donor,grant,thematic_rounds,single_region,SSA,100000,1000000,any,yes,African AI research and capacity including data infrastructure,open,2024,NA,A,https://idrc-crdi.ca/en/initiative/artificial-intelligence-development,Over 100 million Canadian dollars; successor to AI4D Africa. The socio-economic impacts call requires applicants legally registered in African low and middle income countries
gsma_innovation_fund,GSMA Innovation Fund,GSMA|UK Foreign Commonwealth and Development Office,GBR,multilateral,grant,annual,multi_region,SSA|SAS|SEA|OCE|LAC,125000,315000,early,partial,Mobile and digital enterprises in low and middle income countries; recent rounds on impactful AI and green transition,open,2013,NA,A,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/gsma-innovation-fund/,Impactful AI round opened January 2025 with grants to 250 thousand pounds; Green Transition round ran February to May 2026 at 100 to 200 thousand pounds
gates_grand_challenges,Gates Foundation Grand Challenges,Bill and Melinda Gates Foundation,USA,foundation,grant,annual,global,SSA|SAS|LAC|SEA,100000,500000,any,partial,Rotating annual theme; the 2026 call is AI-enabled consumer engagement for family planning in Sub-Saharan Africa,open,2003,NA,A,https://gcgh.grandchallenges.org/,"Up to 500 thousand dollars over 12 months in the 2026 round; national Grand Challenges partners run parallel calls in Brazil, Ethiopia, India, Senegal and South Africa"
grand_challenges_africa,Grand Challenges Africa,Science for Africa Foundation,KEN,foundation,grant,thematic_rounds,single_region,SSA,50000,200000,idea,partial,"African-led innovation in health, water, food security and data science approaches to maternal and child health",open,2015,NA,A,https://scienceforafrica.foundation/grand-challenges-africa,Sixteen rounds to date; seed grants up to 200 thousand dollars over 24 months. One earlier round was explicitly on data science approaches to maternal neonatal and child health
grand_challenges_canada,Grand Challenges Canada Transition to Scale,Grand Challenges Canada|Global Affairs Canada,CAN,bilateral_donor,grant,thematic_rounds,global,SSA|SAS|LAC|SEA|MENA,220000,1100000,growth,no,Proven global health and development innovations ready to scale,open,2010,NA,A,https://www.grandchallenges.ca/what-we-do/how-we-fund/,300 thousand to 1.5 million Canadian dollars. Canada announced renewed investment in March 2026. The 2026 Being Initiative round closed on 31 March 2026
usaid_div,USAID Development Innovation Ventures,United States Agency for International Development,USA,bilateral_donor,grant,rolling,global,SSA|SAS|LAC|SEA|MENA,25000,15000000,any,partial,"Evidence-backed development innovation across stages, with a strong record of funding data-driven ventures",discontinued,2010,2025,A,https://www.usaid.gov/div,The FY2025 annual programme statement closed on 27 January 2025 and the programme ended with the dissolution of USAID. This is the clearest instrument-level case of the funding contingency documented in section 17
div_fund,The DIV Fund,Philanthropic consortium,USA,foundation,grant,rolling,global,SSA|SAS|LAC|SEA|MENA,25000,1000000,any,partial,Continuation of the USAID DIV portfolio and method under philanthropic funding,open,2025,NA,A,https://www.thedivfund.org/,"Launched with 20 million dollars of emergency funding to rescue DIV grantees stranded by the USAID dissolution, with a further 28 million committed over four years"
tef_entrepreneurship,Tony Elumelu Foundation Entrepreneurship Programme,Tony Elumelu Foundation,NGA,foundation,grant,annual,single_region,SSA,5000,5000,idea,no,Any sector; the largest pan-African open-call seed grant by number of recipients,open,2015,NA,A,https://www.tonyelumelufoundation.org/,"5,000 dollars non-refundable seed capital plus twelve weeks of training, open to all 54 African countries and to startups aged 0 to 3 years. The 2026 window ran 1 January to 1 March"
digital_africa_fuze,Fuze by Digital Africa,Digital Africa|Proparco|Agence Francaise de Developpement,FRA,bilateral_donor,equity_free_investment,rolling,single_region,SSA|MENA,22000,110000,seed,no,Pre-seed and seed African technology ventures with a francophone emphasis,open,2021,NA,A,https://digital-africa.co/en/fuze/,"Tickets of 20, 30, 50 or 100 thousand euros calibrated to stage; more than 70 startups in 16 countries. An AI Fuze Challenge ran in 2026"
